"","State","Year","Total_EE_Investment","Political_Score","Disasters","Total population","Female","child","Median age (years)","Median household income (dollars)","Gas","Electricity"
"196","Massachusetts",2023,6069125030.04,79.5,14,7001399,0.511,0.192,40.3,99858,0.554,0.199
"197","Massachusetts  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Michigan",2023,4812921500.76,76.15,NA,10037261,0.505,0.211,40.5,69183,0.831,0.127
"199","Michigan  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Minnesota",2023,3591487964.46,73.39,26,5737915,0.5,0.226,39.1,85086,0.752,0.2
"201","Minnesota  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Mississippi",2023,2569880430.91,70.5,37,2939690,0.515,0.23,39.3,54203,0.385,0.595
"203","Mississippi  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Missouri",2023,3204382401.06,69.96,33,6196156,0.507,0.221,39.3,68545,0.575,0.39
"205","Missouri  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Montana",2023,1293878968.46,69.29,9,1132812,0.495,0.208,40.6,70804,0.613,0.286
"207","Montana  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Nebraska",2023,1040873343.07,69.01,1,1978379,0.498,0.242,37.4,74590,0.658,0.319
"209","Nebraska  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Nevada",2023,1321251622,72.33,6,3194176,0.497,0.215,39.4,76364,0.623,0.342
"211","Nevada  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","New Hampshire",2023,816064023.01,75.01,11,1402054,0.501,0.179,43.4,96838,0.406,0.113
"213","New Hampshire  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","New Jersey",2023,5597852206.64,79.88,1,9290841,0.508,0.216,40.4,99781,0.748,0.171
"215","New Jersey  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","New Mexico",2023,1391343794.05,70.59,3,2114371,0.504,0.212,39.9,62268,0.689,0.235
"217","New Mexico  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","New York",2023,12799749117.57,80.65,27,19571216,0.512,0.202,40.2,82095,0.638,0.162
"219","New York  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","North Carolina",2023,4118144085.12,73.52,101,10835491,0.51,0.214,39.4,70804,0.301,0.659
"221","North Carolina  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","North Dakota",2023,1091058287.61,62.4,28,783926,0.489,0.229,36.3,76525,0.549,0.4
"223","North Dakota  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Ohio",2023,5930929524.97,73.07,NA,11785935,0.507,0.219,39.9,67769,0.691,0.265
"225","Ohio  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Oklahoma",2023,2114734644.25,66.86,32,4053824,0.503,0.238,37.1,62138,0.55,0.425
"227","Oklahoma  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Oregon",2023,2177387925.24,74.88,4,4233358,0.503,0.196,40.7,80160,0.385,0.544
"229","Oregon  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Pennsylvania",2023,6965586017.13,75.03,NA,12961683,0.507,0.202,41.1,73824,0.559,0.261
"231","Pennsylvania  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Rhode Island",2023,1177994647.39,74.94,1,1095962,0.511,0.185,40.8,84972,0.567,0.146
"233","Rhode Island  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","South Carolina",2023,2015033672.17,70.45,92,5373555,0.515,0.212,40.5,67804,0.268,0.71
"235","South Carolina  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","South Dakota",2023,1227984676.53,68.86,30,919318,0.491,0.238,38.5,71810,0.618,0.335
"237","South Dakota  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Tennessee",2023,2822746342.14,70.34,86,7126489,0.509,0.22,39.1,67631,0.341,0.636
"239","Tennessee  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Texas",2023,11348204184.44,71.19,23,30503301,0.501,0.247,35.9,75780,0.372,0.612
"241","Texas  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Utah",2023,1485258728.6,69.76,NA,3417734,0.493,0.273,32.3,93421,0.811,0.169
"243","Utah  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Vermont",2023,813941891.19,76.62,36,647464,0.501,0.177,43.7,81211,0.368,0.1
"245","Vermont  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Virginia",2023,3715783600.94,75.61,NA,8715698,0.506,0.215,39.3,89931,0.364,0.58
"247","Virginia  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Washington",2023,5068153430.71,75.87,18,7812880,0.496,0.21,38.6,94605,0.353,0.597
"249","Washington  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","West Virginia",2023,1710529984.82,62.84,2,1770071,0.501,0.198,42.8,55948,0.454,0.462
"251","West Virginia  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Wisconsin",2023,3201384590.8,74.02,NA,5910955,0.499,0.21,40.5,74631,0.756,0.189
"253","Wisconsin  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Wyoming",2023,811241123.27,63.07,1,584057,0.494,0.222,39.3,72415,0.705,0.231
"255","Wyoming  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Alabama",2024,2597296159.29,69.13,67,5157699,0.517,0.219,39.6,66659,0.308,0.675
"257","Alabama  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Alaska",2024,2506678604.84,69.86,5,740133,0.473,0.236,36.3,95665,0.504,0.153
"259","Alaska  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Arizona",2024,3224693364.69,74.44,5,7582384,0.501,0.209,39.4,81486,0.368,0.591
"261","Arizona  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Arkansas",2024,1940278197.42,66.57,15,3088354,0.509,0.226,39.1,62106,0.425,0.541
"263","Arkansas  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","California",2024,24880602240.45,76.11,29,39431263,0.501,0.213,38.4,100149,0.635,0.301
"265","California  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Colorado",2024,3850768222.34,74.08,4,5957494,0.494,0.202,38,97113,0.711,0.255
"267","Colorado  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Connecticut",2024,2701346635.17,78.17,9,3675069,0.509,0.198,41.2,96049,0.418,0.202
"269","Connecticut  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Delaware",2024,677423992.79,75.9,NA,1051917,0.518,0.203,42.1,87534,0.517,0.391
"271","Delaware  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","District of Columbia",2024,8107475845.32,83.7,NA,702250,0.527,0.185,34.9,109707,0.46,0.499
"273","District of Columbia  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","Florida",2024,8097092218.14,75.33,223,23372215,0.508,0.192,42.7,77735,0.067,0.897
"275","Florida  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Georgia",2024,5100563734.18,72.77,343,11180878,0.513,0.227,38,79991,0.411,0.576
"277","Georgia  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Hawaii",2024,1610950283.54,77.93,1,1446146,0.499,0.203,41.5,100745,0.057,0.444
"279","Hawaii  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","Idaho",2024,1267570357.8,71.81,8,2001619,0.497,0.233,37.8,81166,0.577,0.351
"281","Idaho  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","Illinois",2024,7520661371.91,77.43,8,12710158,0.506,0.212,39.4,83211,0.793,0.189
"283","Illinois  Total",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
